the,127
of,54
to,40
a,37
and,33
in,30
``,26
'',25
that,23
for,21
said,19
jury,19
be,18
's,18
t,17
0,17
it,15
fulton,15
will,13
was,13
which,12
state,11
department,11
on,10
is,10
county,10
city,10
as,10
his,9
has,9
mayor,8
highway,8
election,8
by,8
been,8
atlanta,8
would,7
this,7
these,7
there,7
rural,7
bonds,7
work,6
some,6
should,6
republicans,6
million,6
its,6
issue,6
hartsfield,6
georgia,6
funds,6
court,6
at,6
an,6
with,5
welfare,5
vandiver,5
roads,5
recommended,5
race,5
primary,5
place,5
petition,5
or,5
one,5
not,5
new,5
have,5
grand,5
from,5
first,5
expected,5
candidate,5
are,5
1,5
*pseudo-attach*,5
worth,4
wife,4
who,4
whether,4
when,4
voters,4
under,4
two,4
they,4
term,4
practices,4
pelham,4
number,4
no,4
night,4
must,4
more,4
monday,4
make,4
listed,4
legislature,4
legislators,4
law,4
jail,4
he,4
had,4
governor,4
gov,4
friday,4
campaign,4
caldwell,4
bond,4
also,4
2,4
--,4
william,3
wards,3
voting,3
vote,3
urged,3
up,3
tuesday,3
took,3
time,3
then,3
them,3
than,3
test,3
tax,3
take,3
system,3
superior,3
suit,3
succeeded,3
source,3
session,3
sept.,3
ridge,3
revolving,3
reports,3
purchasing,3
proposed,3
program,3
portion,3
political,3
plan,3
petitions,3
personnel,3
per,3
party,3
other,3
operated,3
office,3
money,3
meeting,3
manner,3
laws,3
jurors,3
jr.,3
jan.,3
ivan,3
irregularities,3
into,3
interest,3
increase,3
implementation,3
however,3
home,3
held,3
griffin,3
general,3
fund,3
follow,3
exception,3
enter,3
enabling,3
employed,3
elected,3
did,3
deputies,3
departments,3
couple,3
counties,3
construction,3
committee,3
commented,3
charged,3
charge,3
chairman,3
byrd,3
but,3
both,3
blue,3
being,3
before,3
authority,3
audience,3
attorney,3
approved,3
allen,3
airport,3
age,3
administration,3
adjournment,3
additional,3
added,3
action,3
act,3
-rrb-,3
-lrb-,3
yet,2
years,2
year,2
won,2
wind,2
williams,2
widespread,2
where,2
what,2
were,2
well,2
weekend,2
wednesday,2
we,2
warning,2
warned,2
wanted,2
wait,2
w.,2
voted,2
visit,2
very,2
validity,2
urban,2
upon,2
unmeritorious,2
unit,2
undue,2
unanimous,2
traveled,2
traditional,2
tower,2
toward,2
topics,2
top,2
told,2
together,2
title,2
through,2
three,2
thanks,2
texas,2
term-end,2
taxpayers,2
takes,2
taken,2
swipe,2
surveillance,2
sunday,2
such,2
study,2
studied,2
strong,2
steps,2
starts,2
speaker,2
sought,2
son,2
so,2
snodgrass,2
size,2
since,2
signatures,2
sign,2
shortly,2
settlement,2
services,2
serve,2
servants,2
september-october,2
senate,2
sen.,2
seen,2
schley,2
says,2
savannah,2
sam,2
sales,2
run,2
robert,2
rob,2
road,2
revised,2
result,2
responses,2
resolution,2
resigned,2
resignation,2
research,2
rescind,2
requesting,2
repealed,2
repair,2
rep.,2
remedy,2
relative,2
relations,2
registration,2
registered,2
regarding,2
reelection,2
reduce,2
reconstruction,2
reconsideration,2
recommendations,2
recent,2
receives,2
received,2
receive,2
reasonable,2
realize,2
ready,2
re-set,2
rd,2
rally,2
quickie,2
pye,2
purpose,2
public,2
provide,2
protected,2
protect,2
proportionate,2
property,2
produced,2
procedures,2
problem,2
prison,2
priority,2
pricing,2
prices,2
previous,2
presentments,2
present,2
precincts,2
praised,2
praise,2
possible,2
populous,2
policies,2
police,2
platform,2
plans,2
picking,2
permit,2
periodic,2
pension,2
pearl,2
pass,2
paid,2
over-all,2
outright,2
outmoded,2
outgoing,2
out,2
our,2
ordinary,2
orderly,2
opposes,2
operation,2
operating,2
opened,2
opelika,2
only,2
ones,2
old,2
often,2
officials,2
official,2
offices,2
offer,2
off,2
occupation,2
obtain,2
